,place_id,name,cre_id,Longitud,Latitud,regular,premium
4901,7083,Fuente Las Varas,PL/4164/EXP/ES/2015,-99.10772,19.34619,21.19,22.99
4915,7097,Promo Gas SA de CV,PL/4826/EXP/ES/2015,-99.18551,19.38473,20.91,22.31
4977,7159,"INN NUEVA YORK, S.A. DE C.V.",PL/3856/EXP/ES/2015,-99.20673,19.30274,21.39,22.99
5061,7243,SERVICIO BONAR S.A. DE C.V.,PL/3736/EXP/ES/2015,-99.14667,19.30311,20.39,22.19
5099,7281,"OPERADORA GASOIL, S.A. DE C.V.",PL/4923/EXP/ES/2015,-99.15197,19.35486,21.45,23.49
5121,7303,IRELA NAJERA JUAREZ,PL/4962/EXP/ES/2015,-99.03053,19.38137,20.89,22.89
5162,7344,"INN NUEVA YORK, S.A. DE C.V.",PL/3954/EXP/ES/2015,-99.17519,19.38998,20.89,22.79
5232,7414,GAS ROAN S.A. DE C.V.,PL/4252/EXP/ES/2015,-99.14552,19.3986,17.59,17.79
5309,7491,SERVICIO MOLIERE SA DE CV,PL/4614/EXP/ES/2015,-99.20211,19.43208,21.74,23.14
5339,7521,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6738/EXP/ES/2015,-99.12141,19.47486,20.59,22.59
5414,7596,GRUPO GASOLINERO DAT S.A.P.I DE C.V,PL/7057/EXP/ES/2015,-99.20095,19.40687,21.69,22.99
5424,7606,"Servicio Ramírez e Hijos, S.A. de C.V.",PL/6427/EXP/ES/2015,-99.10404,19.46066,20.49,22.69
5437,7619,"ESTACIÓN DE SERVICIO CALZADA DE LA VIGA, S.A. DE C.V.",PL/6369/EXP/ES/2015,-99.13647,19.40696,21.29,22.99
5455,7637,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6408/EXP/ES/2015,-99.15083,19.48754,21.69,22.99
5464,7646,"ESTACIÓN DE CARGA VÍA LÁCTEA, S.A. DE C.V.",PL/6692/EXP/ES/2015,-99.03779,19.34319,21.69,22.99
5471,7653,"Servicio Garay, S.A. de C.V.",PL/6485/EXP/ES/2015,-99.06476,19.33776,20.99,22.99
5512,7695,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6596/EXP/ES/2015,-99.16793,19.43853,21.69,22.99
5531,7714,SERVICIO EJE SEIS SA DE CV,PL/6936/EXP/ES/2015,-99.14546,19.37849,20.69,22.99
5558,7741,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6746/EXP/ES/2015,-99.15968,19.43142,21.69,22.99
5567,7750,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6712/EXP/ES/2015,-99.16587,19.41518,21.89,23.19
5594,7777,"Servicio Moreno Plutarco, S.A.",PL/6789/EXP/ES/2015,-99.13892,19.3598,20.97,22.71
5601,7784,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6770/EXP/ES/2015,-99.1552,19.42853,21.79,23.09
5604,7787,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6683/EXP/ES/2015,-99.17567,19.40145,21.69,22.99
5664,7847,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6728/EXP/ES/2015,-99.16984,19.40123,21.89,23.19
5665,7848,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6754/EXP/ES/2015,-99.13846,19.38855,21.69,22.99
5666,7849,"OPERADORA DE MINIESTACIONES COMBUSERV, S.A. DE C.V",PL/6691/EXP/ES/2015,-99.03342,19.34363,21.69,22.99
5690,7873,"ESTACION DE SERVICIO 0210, S.A. DE C.V.",PL/7149/EXP/ES/2015,-99.15184,19.2975,19.99,21.79
5691,7874,"INMUEBLES JULIEN, S.A",PL/6379/EXP/ES/2015,-99.15102,19.45794,17.89,18.1
5704,7887,SERVICIO RIO DE LA PLATA S.A DE C.V,PL/6857/EXP/ES/2015,-99.17441,19.42785,19.99,22.99
5722,7905,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6364/EXP/ES/2015,-99.16779,19.40896,21.89,23.19
5795,7978,GRUPO TAMBRE S.A. DE C.V.,PL/6556/EXP/ES/2015,-99.2857,19.36309,20.29,22.29
5796,7979,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6696/EXP/ES/2015,-99.16547,19.39216,21.79,23.09
5802,7985,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6350/EXP/ES/2015,-99.20508,19.39031,21.59,22.89
5805,7988,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6705/EXP/ES/2015,-99.18779,19.34767,21.89,23.19
5843,8026,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6565/EXP/ES/2015,-99.14603,19.45234,20.39,21.99
5871,8054,SERVICIO TULYEHUALCO S.A. DE C.V.,PL/6979/EXP/ES/2015,-99.02377,19.25752,20.89,22.79
5945,8128,"Gasolinería Miramontes, S.A. de C.V.",PL/6540/EXP/ES/2015,-99.00448,19.17205,21.39,22.99
5964,8147,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6710/EXP/ES/2015,-99.16729,19.39709,20.59,22.59
6004,8187,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6706/EXP/ES/2015,-99.13254,19.38864,21.69,22.99
6005,8188,LUIS CABALLERO NAVARRO,PL/6541/EXP/ES/2015,-99.14169,19.33694,20.29,22.28
6007,8190,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6749/EXP/ES/2015,-99.17036,19.39932,21.89,23.19
6009,8192,ROBERTO RUBALCABA MENDEZ,PL/6402/EXP/ES/2015,-99.12566,19.35835,21.19,23.19
6015,8198,CONXO SA DE CV,PL/6944/EXP/ES/2015,-99.18111,19.39519,20.79,22.99
6017,8200,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6687/EXP/ES/2015,-99.18815,19.37937,21.79,23.09
6021,8204,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.",PL/6700/EXP/ES/2015,-99.15585,19.42406,21.79,23.09
6068,8251,SERVICIO INTEGRAL NACIONAL S.A. DE C.V.,PL/6845/EXP/ES/2015,-99.15733,19.36219,20.69,23.07
